Year,State,Yes,No,lat,long,code
2007,Iowa,89.5,10.5,42.46940091300047,-93.81649055599968,IA
1995,Pennsylvania,90.7,9.3,40.79373015200048,-77.86070029399963,PA
2002,Nevada,77.6,22.4,39.493240390000494,-117.07184056399969,NV
1999,North Carolina,88.5,11.5,35.466220975000454,-79.15925046299964,NC
2009,New Jersey,87.2,12.8,40.13057004800049,-74.27369128799967,NJ
2006,Delaware,90.4,9.6,39.008830667000495,-75.57774116799965,DE
2002,Maryland,90.2,9.8,39.29058096400047,-76.60926011099963,MD
2000,Nebraska,90.9,9.1,41.6410409880005,-99.36572062299967,NE
2005,Colorado,83.9,16.1,38.843840757000464,-106.13361092099969,CO
2000,Mississippi,80.7,19.3,32.745510099000455,-89.53803082499968,MS
2010,Alaska,82.4,17.6,64.84507995700051,-147.7220590359997,AK
2008,Nebraska,87.7,12.3,41.6410409880005,-99.36572062299967,NE
2003,New Jersey,86.3,13.7,40.13057004800049,-74.27369128799967,NJ
2007,Montana,83.1,16.9,47.06652897200047,-109.42442064499971,MT
1997,Minnesota,91.6,8.4,46.35564873600049,-94.79420050299969,MN
2007,Georgia,82.9,17.1,32.83968109300048,-83.62758034599966,GA
2002,Alabama,84.9,15.1,32.84057112200048,-86.63186076199969,AL
2009,Arizona,85.0,15.0,34.865970280000454,-111.76381127699972,AZ
1997,Vermont,85.6,14.4,43.62538123900049,-72.51764079099962,VT
2009,Virginia,88.1,11.9,37.54268067400045,-78.45789046299967,VA
1999,Illinois,88.2,11.8,40.48501028300046,-88.99771017799969,IL
2006,Kentucky,83.0,17.0,37.64597027100047,-84.77497104799966,KY
1995,Wisconsin,92.2,7.8,44.39319117400049,-89.81637074199966,WI
2005,New Hampshire,89.5,10.5,43.65595011300047,-71.50036091999965,NH
2001,Kentucky,84.9,15.1,37.64597027100047,-84.77497104799966,KY
2005,Maryland,89.1,10.9,39.29058096400047,-76.60926011099963,MD
2010,Nevada,80.3,19.7,39.493240390000494,-117.07184056399969,NV
2007,Missouri,86.6,13.4,38.63579077600048,-92.56630005299968,MO
2008,Michigan,88.3,11.7,44.6613195430005,-84.71439026999968,MI
1999,Oklahoma,82.7,17.3,35.47203135600046,-97.52107021399968,OK
1998,Illinois,89.1,10.9,40.48501028300046,-88.99771017799969,IL
2001,Michigan,90.4,9.6,44.6613195430005,-84.71439026999968,MI
2003,Mississippi,80.9,19.1,32.745510099000455,-89.53803082499968,MS
1998,Wisconsin,91.7,8.3,44.39319117400049,-89.81637074199966,WI
2006,Idaho,81.2,18.8,43.68263000500048,-114.3637300419997,ID
1998,New Jersey,89.8,10.2,40.13057004800049,-74.27369128799967,NJ
2005,Georgia,83.4,16.6,32.83968109300048,-83.62758034599966,GA
2004,Massachusetts,90.7,9.3,42.27687047000046,-72.08269067499964,MA
1997,South Carolina,85.0,15.0,33.998821303000454,-81.04537120699968,SC
2004,Kansas,87.0,13.0,38.34774030000045,-98.20078122699964,KS
2001,Delaware,91.4,8.6,39.008830667000495,-75.57774116799965,DE
2002,Kentucky,81.8,18.2,37.64597027100047,-84.77497104799966,KY
2003,Texas,73.3,26.7,31.827240407000488,-99.42677020599967,TX
2009,Oklahoma,80.2,19.8,35.47203135600046,-97.52107021399968,OK
2010,Hawaii,93.2,6.8,21.304850435000446,-157.85774940299973,HI
1995,North Carolina,87.4,12.6,35.466220975000454,-79.15925046299964,NC
2002,North Carolina,83.3,16.7,35.466220975000454,-79.15925046299964,NC
2009,Oregon,82.1,17.9,44.56744942400047,-120.15503132599969,OR
2010,Mississippi,78.4,21.6,32.745510099000455,-89.53803082499968,MS
2001,Arizona,83.1,16.9,34.865970280000454,-111.76381127699972,AZ
2007,South Carolina,83.6,16.4,33.998821303000454,-81.04537120699968,SC
2006,Rhode Island,88.7,11.3,41.70828019300046,-71.52247031399963,RI
2010,Texas,76.9,23.1,31.827240407000488,-99.42677020599967,TX
2002,Maine,85.9,14.1,45.254228894000505,-68.98503133599962,ME
2009,Texas,74.8,25.2,31.827240407000488,-99.42677020599967,TX
2009,Vermont,90.2,9.8,43.62538123900049,-72.51764079099962,VT
2004,Michigan,87.8,12.2,44.6613195430005,-84.71439026999968,MI
2000,Georgia,85.1,14.9,32.83968109300048,-83.62758034599966,GA
2007,Delaware,92.3,7.7,39.008830667000495,-75.57774116799965,DE
2001,New Hampshire,88.5,11.5,43.65595011300047,-71.50036091999965,NH
2007,Arizona,81.9,18.1,34.865970280000454,-111.76381127699972,AZ
2008,New Mexico,80.1,19.9,34.52088095200048,-106.24058098499968,NM
1998,Oklahoma,81.6,18.4,35.47203135600046,-97.52107021399968,OK
2008,Vermont,89.4,10.6,43.62538123900049,-72.51764079099962,VT
1995,Connecticut,90.3,9.7,41.56266102000046,-72.64984095199964,CT
1999,Florida,83.8,16.2,28.93204037700048,-81.92896053899966,FL
2003,District of Columbia,90.1,9.9,38.89037138500049,-77.03196112699965,DC
1998,Massachusetts,91.1,8.9,42.27687047000046,-72.08269067499964,MA
2000,New Jersey,87.1,12.9,40.13057004800049,-74.27369128799967,NJ
2005,West Virginia,81.9,18.1,38.66551020200046,-80.71264013499967,WV
1996,Delaware,89.2,10.8,39.008830667000495,-75.57774116799965,DE
2004,Texas,73.2,26.8,31.827240407000488,-99.42677020599967,TX
2004,New Mexico,78.0,22.0,34.52088095200048,-106.24058098499968,NM
2009,Alabama,84.5,15.5,32.84057112200048,-86.63186076199969,AL
2000,Maryland,90.1,9.9,39.29058096400047,-76.60926011099963,MD
2003,Colorado,85.0,15.0,38.843840757000464,-106.13361092099969,CO
2009,Wyoming,83.6,16.4,43.23554134300048,-108.10983035299968,WY
2008,Wisconsin,89.7,10.3,44.39319117400049,-89.81637074199966,WI
2009,Illinois,86.4,13.6,40.48501028300046,-88.99771017799969,IL
2003,Utah,83.5,16.5,39.36070017100048,-111.58713063499972,UT
2006,Florida,79.6,20.4,28.93204037700048,-81.92896053899966,FL
2006,Connecticut,89.9,10.1,41.56266102000046,-72.64984095199964,CT
1996,Illinois,88.2,11.8,40.48501028300046,-88.99771017799969,IL
2003,Pennsylvania,89.1,10.9,40.79373015200048,-77.86070029399963,PA
2010,Massachusetts,95.7,4.3,42.27687047000046,-72.08269067499964,MA
2003,Delaware,91.3,8.7,39.008830667000495,-75.57774116799965,DE
1998,Missouri,87.0,13.0,38.63579077600048,-92.56630005299968,MO
1999,Kentucky,85.5,14.5,37.64597027100047,-84.77497104799966,KY
2003,Florida,81.1,18.9,28.93204037700048,-81.92896053899966,FL
2008,Colorado,83.7,16.3,38.843840757000464,-106.13361092099969,CO
2010,Idaho,80.9,19.1,43.68263000500048,-114.3637300419997,ID
1999,Pennsylvania,89.8,10.2,40.79373015200048,-77.86070029399963,PA
2001,West Virginia,80.7,19.3,38.66551020200046,-80.71264013499967,WV
2009,District of Columbia,94.0,6.0,38.89037138500049,-77.03196112699965,DC
2005,Washington,85.3,14.7,47.52227862900048,-120.47001078999972,WA
2007,Kansas,88.0,12.0,38.34774030000045,-98.20078122699964,KS
2005,South Carolina,81.1,18.9,33.998821303000454,-81.04537120699968,SC
2007,Illinois,84.9,15.1,40.48501028300046,-88.99771017799969,IL
2004,Wisconsin,90.0,10.0,44.39319117400049,-89.81637074199966,WI
2009,Connecticut,90.6,9.4,41.56266102000046,-72.64984095199964,CT
1999,Utah,87.6,12.4,39.36070017100048,-111.58713063499972,UT
2009,Utah,85.0,15.0,39.36070017100048,-111.58713063499972,UT
2008,Alabama,84.0,16.0,32.84057112200048,-86.63186076199969,AL
2002,Louisiana,75.9,24.1,31.31266064400046,-92.44568007099969,LA
2004,South Carolina,83.0,17.0,33.998821303000454,-81.04537120699968,SC
1998,Montana,82.8,17.2,47.06652897200047,-109.42442064499971,MT
1995,New Jersey,91.9,8.1,40.13057004800049,-74.27369128799967,NJ
1998,Tennessee,87.0,13.0,35.68094058000048,-85.77449091399967,TN
2000,West Virginia,80.9,19.1,38.66551020200046,-80.71264013499967,WV
2002,New Jersey,86.7,13.3,40.13057004800049,-74.27369128799967,NJ
2000,South Dakota,89.5,10.5,44.35313005300048,-100.3735306369997,SD
2006,New York,86.5,13.5,42.82700103200045,-75.54397042699964,NY
1998,Maryland,86.4,13.6,39.29058096400047,-76.60926011099963,MD
2004,Delaware,91.0,9.0,39.008830667000495,-75.57774116799965,DE
2006,Louisiana,77.1,22.9,31.31266064400046,-92.44568007099969,LA
2010,South Dakota,89.4,10.6,44.35313005300048,-100.3735306369997,SD
2006,West Virginia,84.6,15.4,38.66551020200046,-80.71264013499967,WV
1997,New Mexico,77.8,22.2,34.52088095200048,-106.24058098499968,NM
2009,Florida,81.3,18.7,28.93204037700048,-81.92896053899966,FL
1997,Washington,89.1,10.9,47.52227862900048,-120.47001078999972,WA
1997,Iowa,90.4,9.6,42.46940091300047,-93.81649055599968,IA
2004,Ohio,87.0,13.0,40.06021014100048,-82.40426005599966,OH
1998,Minnesota,91.5,8.5,46.35564873600049,-94.79420050299969,MN
2010,Oregon,83.5,16.5,44.56744942400047,-120.15503132599969,OR
1995,Alabama,85.7,14.3,32.84057112200048,-86.63186076199969,AL
1996,Iowa,90.8,9.2,42.46940091300047,-93.81649055599968,IA
2004,Nevada,78.4,21.6,39.493240390000494,-117.07184056399969,NV
1996,Michigan,90.4,9.6,44.6613195430005,-84.71439026999968,MI
1998,Connecticut,91.2,8.8,41.56266102000046,-72.64984095199964,CT
1997,Maryland,89.8,10.2,39.29058096400047,-76.60926011099963,MD
2004,Tennessee,88.2,11.8,35.68094058000048,-85.77449091399967,TN
1996,Colorado,86.5,13.5,38.843840757000464,-106.13361092099969,CO
2001,Louisiana,77.9,22.1,31.31266064400046,-92.44568007099969,LA
2002,West Virginia,82.0,18.0,38.66551020200046,-80.71264013499967,WV
2004,Missouri,86.8,13.2,38.63579077600048,-92.56630005299968,MO
2000,Texas,77.0,23.0,31.827240407000488,-99.42677020599967,TX
2007,New Hampshire,88.3,11.7,43.65595011300047,-71.50036091999965,NH
2010,Virginia,87.8,12.2,37.54268067400045,-78.45789046299967,VA
2004,Georgia,83.0,17.0,32.83968109300048,-83.62758034599966,GA
2001,Missouri,89.4,10.6,38.63579077600048,-92.56630005299968,MO
1998,Georgia,85.3,14.7,32.83968109300048,-83.62758034599966,GA
2007,New Jersey,86.5,13.5,40.13057004800049,-74.27369128799967,NJ
2004,Kentucky,85.0,15.0,37.64597027100047,-84.77497104799966,KY
2002,Idaho,83.0,17.0,43.68263000500048,-114.3637300419997,ID
1999,Nevada,81.9,18.1,39.493240390000494,-117.07184056399969,NV
2005,Florida,79.7,20.3,28.93204037700048,-81.92896053899966,FL
1995,Nebraska,92.2,7.8,41.6410409880005,-99.36572062299967,NE
1996,Indiana,88.6,11.4,39.766910452000445,-86.14996019399968,IN
1996,Ohio,88.6,11.4,40.06021014100048,-82.40426005599966,OH
2004,Idaho,84.2,15.8,43.68263000500048,-114.3637300419997,ID
2006,Vermont,88.5,11.5,43.62538123900049,-72.51764079099962,VT
1995,Maryland,90.6,9.4,39.29058096400047,-76.60926011099963,MD
2010,Oklahoma,80.8,19.2,35.47203135600046,-97.52107021399968,OK
2005,New York,86.3,13.7,42.82700103200045,-75.54397042699964,NY
1997,Arizona,85.4,14.6,34.865970280000454,-111.76381127699972,AZ
2006,Hawaii,91.7,8.3,21.304850435000446,-157.85774940299973,HI
1995,Ohio,89.0,11.0,40.06021014100048,-82.40426005599966,OH
2005,Connecticut,91.0,9.0,41.56266102000046,-72.64984095199964,CT
2004,Oregon,82.3,17.7,44.56744942400047,-120.15503132599969,OR
2008,Massachusetts,95.6,4.4,42.27687047000046,-72.08269067499964,MA
2006,Georgia,84.2,15.8,32.83968109300048,-83.62758034599966,GA
2009,Maine,88.6,11.4,45.254228894000505,-68.98503133599962,ME
1998,Kentucky,85.6,14.4,37.64597027100047,-84.77497104799966,KY
1997,Kansas,90.5,9.5,38.34774030000045,-98.20078122699964,KS
2002,Arizona,83.9,16.1,34.865970280000454,-111.76381127699972,AZ
2010,Alabama,83.8,16.2,32.84057112200048,-86.63186076199969,AL
2003,New Mexico,77.9,22.1,34.52088095200048,-106.24058098499968,NM
2006,District of Columbia,91.3,8.7,38.89037138500049,-77.03196112699965,DC
2010,Ohio,87.2,12.8,40.06021014100048,-82.40426005599966,OH
2008,Oregon,84.0,16.0,44.56744942400047,-120.15503132599969,OR
2000,Kansas,89.3,10.7,38.34774030000045,-98.20078122699964,KS
2008,Mississippi,80.6,19.4,32.745510099000455,-89.53803082499968,MS
2002,Wyoming,82.8,17.2,43.23554134300048,-108.10983035299968,WY
1995,Michigan,91.5,8.5,44.6613195430005,-84.71439026999968,MI
2007,Nevada,79.2,20.8,39.493240390000494,-117.07184056399969,NV
2005,Oregon,82.3,17.7,44.56744942400047,-120.15503132599969,OR
1995,Maine,83.6,16.4,45.254228894000505,-68.98503133599962,ME
1998,South Carolina,83.7,16.3,33.998821303000454,-81.04537120699968,SC
1995,Minnesota,91.8,8.2,46.35564873600049,-94.79420050299969,MN
2000,Montana,85.1,14.9,47.06652897200047,-109.42442064499971,MT
1998,Maine,86.8,13.2,45.254228894000505,-68.98503133599962,ME
1999,Montana,83.0,17.0,47.06652897200047,-109.42442064499971,MT
1998,Wyoming,82.9,17.1,43.23554134300048,-108.10983035299968,WY
2006,Kansas,87.0,13.0,38.34774030000045,-98.20078122699964,KS
2000,Massachusetts,91.6,8.4,42.27687047000046,-72.08269067499964,MA
2005,Idaho,81.1,18.9,43.68263000500048,-114.3637300419997,ID
2004,Illinois,85.7,14.3,40.48501028300046,-88.99771017799969,IL
1995,Wyoming,83.7,16.3,43.23554134300048,-108.10983035299968,WY
2005,New Jersey,85.5,14.5,40.13057004800049,-74.27369128799967,NJ
1999,Wyoming,83.1,16.9,43.23554134300048,-108.10983035299968,WY
1999,North Dakota,88.9,11.1,47.47531977900047,-100.11842104899966,ND
2009,Rhode Island,88.0,12.0,41.70828019300046,-71.52247031399963,RI
2008,California,82.5,17.5,37.63864012300047,-120.99999953799971,CA
2002,Alaska,80.9,19.1,64.84507995700051,-147.7220590359997,AK
2005,North Carolina,80.9,19.1,35.466220975000454,-79.15925046299964,NC
1995,Washington,88.5,11.5,47.52227862900048,-120.47001078999972,WA
2002,Ohio,88.6,11.4,40.06021014100048,-82.40426005599966,OH
2010,Kentucky,83.1,16.9,37.64597027100047,-84.77497104799966,KY
2004,Rhode Island,88.1,11.9,41.70828019300046,-71.52247031399963,RI
2005,California,82.8,17.2,37.63864012300047,-120.99999953799971,CA
2010,Maine,88.0,12.0,45.254228894000505,-68.98503133599962,ME
1996,Georgia,90.2,9.8,32.83968109300048,-83.62758034599966,GA
1997,Georgia,88.0,12.0,32.83968109300048,-83.62758034599966,GA
2008,Wyoming,84.4,15.6,43.23554134300048,-108.10983035299968,WY
2010,District of Columbia,93.0,7.0,38.89037138500049,-77.03196112699965,DC
1996,Nevada,83.6,16.4,39.493240390000494,-117.07184056399969,NV
2006,Minnesota,91.8,8.2,46.35564873600049,-94.79420050299969,MN
2006,Iowa,89.5,10.5,42.46940091300047,-93.81649055599968,IA
2003,Illinois,84.9,15.1,40.48501028300046,-88.99771017799969,IL
2002,Kansas,88.9,11.1,38.34774030000045,-98.20078122699964,KS
2008,South Carolina,82.4,17.6,33.998821303000454,-81.04537120699968,SC
2000,Louisiana,78.1,21.9,31.31266064400046,-92.44568007099969,LA
2010,Iowa,89.6,10.4,42.46940091300047,-93.81649055599968,IA
1996,Rhode Island,89.5,10.5,41.70828019300046,-71.52247031399963,RI
1999,Indiana,87.6,12.4,39.766910452000445,-86.14996019399968,IN
2004,Colorado,84.3,15.7,38.843840757000464,-106.13361092099969,CO
1999,New Jersey,88.1,11.9,40.13057004800049,-74.27369128799967,NJ
1995,Kentucky,85.7,14.3,37.64597027100047,-84.77497104799966,KY
1998,Michigan,89.9,10.1,44.6613195430005,-84.71439026999968,MI
2002,Hawaii,91.3,8.7,21.304850435000446,-157.85774940299973,HI
2009,Massachusetts,94.7,5.3,42.27687047000046,-72.08269067499964,MA
2006,Nebraska,85.8,14.2,41.6410409880005,-99.36572062299967,NE
2002,Indiana,85.2,14.8,39.766910452000445,-86.14996019399968,IN
1995,New York,87.8,12.2,42.82700103200045,-75.54397042699964,NY
2004,Virginia,85.8,14.2,37.54268067400045,-78.45789046299967,VA
2001,Nebraska,86.0,14.0,41.6410409880005,-99.36572062299967,NE
2006,Pennsylvania,89.5,10.5,40.79373015200048,-77.86070029399963,PA
2005,Virginia,88.9,11.1,37.54268067400045,-78.45789046299967,VA
2000,Wyoming,82.8,17.2,43.23554134300048,-108.10983035299968,WY
1998,New York,86.3,13.7,42.82700103200045,-75.54397042699964,NY
2009,Maryland,88.5,11.5,39.29058096400047,-76.60926011099963,MD
2004,New Hampshire,87.9,12.1,43.65595011300047,-71.50036091999965,NH
2008,Illinois,85.4,14.6,40.48501028300046,-88.99771017799969,IL
2009,Nevada,80.5,19.5,39.493240390000494,-117.07184056399969,NV
2001,Arkansas,83.9,16.1,34.74865012400045,-92.27449074299966,AR
2007,Alabama,85.3,14.7,32.84057112200048,-86.63186076199969,AL
1997,Delaware,89.2,10.8,39.008830667000495,-75.57774116799965,DE
1997,Tennessee,88.3,11.7,35.68094058000048,-85.77449091399967,TN
1995,Georgia,89.8,10.2,32.83968109300048,-83.62758034599966,GA
2005,Utah,84.9,15.1,39.36070017100048,-111.58713063499972,UT
1997,Virginia,88.7,11.3,37.54268067400045,-78.45789046299967,VA
1997,North Carolina,85.3,14.7,35.466220975000454,-79.15925046299964,NC
2006,Washington,85.5,14.5,47.52227862900048,-120.47001078999972,WA
2002,Iowa,91.2,8.8,42.46940091300047,-93.81649055599968,IA
2006,Tennessee,86.7,13.3,35.68094058000048,-85.77449091399967,TN
2005,Vermont,87.8,12.2,43.62538123900049,-72.51764079099962,VT
1999,District of Columbia,86.9,13.1,38.89037138500049,-77.03196112699965,DC
1996,Alabama,84.0,16.0,32.84057112200048,-86.63186076199969,AL
2004,Alaska,83.5,16.5,64.84507995700051,-147.7220590359997,AK
2007,District of Columbia,91.6,8.4,38.89037138500049,-77.03196112699965,DC
1997,West Virginia,81.9,18.1,38.66551020200046,-80.71264013499967,WV
1999,Michigan,90.2,9.8,44.6613195430005,-84.71439026999968,MI
2008,Oklahoma,81.1,18.9,35.47203135600046,-97.52107021399968,OK
2007,New York,86.2,13.8,42.82700103200045,-75.54397042699964,NY
2002,Utah,86.4,13.6,39.36070017100048,-111.58713063499972,UT
1999,Iowa,91.2,8.8,42.46940091300047,-93.81649055599968,IA
1999,West Virginia,81.9,18.1,38.66551020200046,-80.71264013499967,WV
2010,North Carolina,81.0,19.0,35.466220975000454,-79.15925046299964,NC
1996,Connecticut,90.7,9.3,41.56266102000046,-72.64984095199964,CT
1998,Idaho,84.8,15.2,43.68263000500048,-114.3637300419997,ID
1998,Virginia,87.8,12.2,37.54268067400045,-78.45789046299967,VA
2010,Wisconsin,89.3,10.7,44.39319117400049,-89.81637074199966,WI
2005,Rhode Island,88.4,11.6,41.70828019300046,-71.52247031399963,RI
2005,Wisconsin,89.5,10.5,44.39319117400049,-89.81637074199966,WI
2010,Pennsylvania,88.5,11.5,40.79373015200048,-77.86070029399963,PA
2006,Arkansas,79.4,20.6,34.74865012400045,-92.27449074299966,AR
2001,Pennsylvania,90.8,9.2,40.79373015200048,-77.86070029399963,PA
2006,South Carolina,83.4,16.6,33.998821303000454,-81.04537120699968,SC
2010,Maryland,89.1,10.9,39.29058096400047,-76.60926011099963,MD
2010,Montana,81.6,18.4,47.06652897200047,-109.42442064499971,MT
1995,Vermont,88.1,11.9,43.62538123900049,-72.51764079099962,VT
1996,Kentucky,85.6,14.4,37.64597027100047,-84.77497104799966,KY
2005,Pennsylvania,89.2,10.8,40.79373015200048,-77.86070029399963,PA
2009,New York,88.0,12.0,42.82700103200045,-75.54397042699964,NY
2008,Tennessee,83.4,16.6,35.68094058000048,-85.77449091399967,TN
1996,Virginia,85.4,14.6,37.54268067400045,-78.45789046299967,VA
2006,Wyoming,82.1,17.9,43.23554134300048,-108.10983035299968,WY
